,Vmeas,rawADC
0,0.037,0
1,0.524,13
2,1.035,28
3,1.545,44
4,2.05,60
5,2.56,74
6,3.07,90
7,4.59,136
8,6.11,181
9,7.64,228
10,9.17,274
11,10.69,320
12,12.21,367
13,13.74,412
14,15.26,459
15,16.79,505
16,18.31,551
17,19.84,597
18,21.4,643
19,22.9,690
20,24.4,736
21,25.9,781
22,27.4,828
23,29.0,874
24,30.5,920
