I,ADC
"0,003",0
"0,203",11
"0,248",17
"0,497",44
"0,749",70
1,96
"1,255",122
"1,507",149
"1,761",175
"2,02",202
"2,28",228
"2,53",255
"3,03",308
"3,54",361
"4,04",413
"4,54",467
"5,05",519
"5,55",572
"6,06",625
"6,57",677
"7,07",730
"7,57",783
"7,82",809
"8,08",836
"8,33",862
"8,58",888
"8,84",915
"9,09",942
"9,34",968
"9,6",994
"9,85",1018
