I,DAC
"0,003",0
"0,192",424
"0,481",848
"0,736",1221
"0,988",1591
"1,237",1956
"1,487",2321
"1,738",2688
"1,988",3055
"2,24",3421
"2,49",3787
"2,99",4518
"3,49",5250
"3,99",5982
"4,48",6713
"4,98",7448
"5,49",8188
"5,99",8922
"6,49",9653
"6,99",10384
"7,48",11108
"7,73",11470
"7,98",11841
"8,23",12211
"8,48",12578
"8,73",12946
"8,98",13316
"9,24",13686
"9,48",14054
"9,74",14423
"9,99",14796
