,rawDAC,Vset,Vmeas
0,0,0.0,0.039
1,273,0.5,0.525
2,546,1.0,1.035
3,819,1.5,1.546
4,1092,2.0,2.05
5,1365,2.5,2.55
6,1638,3.0,3.07
7,2457,4.5,4.59
8,3276,6.0,6.12
9,4095,7.5,7.64
10,4914,9.0,9.16
11,5734,10.5,10.69
12,6553,12.0,12.21
13,7372,13.5,13.74
14,8191,15.0,15.26
15,9010,16.5,16.79
16,9829,18.0,18.31
17,10648,19.5,19.84
18,11468,21.0,21.4
19,12287,22.5,22.9
20,13106,24.0,24.4
21,13925,25.5,25.9
22,14744,27.0,27.4
23,15563,28.5,29.0
24,16383,30.0,30.5
