Temp_C,Rmin,Rtyp,Rmax
-55,471,485,500
-50,495,510,524
-40,547,562,576
-30,603,617,632
-20,662,677,691
-10,726,740,754
0,794,807,820
10,865,877,889
20,941,951,962
25,980,990,1000
30,1018,1029,1041
40,1097,1111,1125
50,1180,1196,1213
60,1266,1286,1305
70,1355,1378,1402
80,1447,1475,1502
90,1543,1575,1607
100,1642,1679,1716
110,1745,1786,1828
120,1849,1896,1943
125,1900,1950,2000
130,1950,2003,2056
140,2044,2103,2162
150,2124,2189,2254
